,percentage_samples,score,strategy,repetition
28,60,0.505125284738041,entropy_sampling,6
29,70,0.5034168564920274,entropy_sampling,6
30,80,0.5199316628701595,entropy_sampling,6
31,90,0.5176537585421412,entropy_sampling,6
32,100,0.5167995444191344,entropy_sampling,6
33,1,0.14550113895216402,margin_sampling,6
34,10,0.3283029612756264,margin_sampling,6
35,20,0.41173120728929385,margin_sampling,6
36,30,0.4402050113895216,margin_sampling,6
37,40,0.46697038724373574,margin_sampling,6
38,50,0.4880410022779043,margin_sampling,6
39,60,0.503132118451025,margin_sampling,6
40,70,0.5025626423690205,margin_sampling,6
41,80,0.5111047835990888,margin_sampling,6
42,90,0.5148063781321185,margin_sampling,6
43,100,0.5116742596810934,margin_sampling,6
0,1,0.1546127562642369,random,7
1,10,0.35734624145785876,random,7
2,20,0.4054669703872437,random,7
3,30,0.438496583143508,random,7
4,40,0.46212984054669703,random,7
5,50,0.47636674259681094,random,7
6,60,0.48832574031890663,random,7
7,70,0.4994305239179954,random,7
8,80,0.5239179954441914,random,7
9,90,0.5267653758542141,random,7
10,100,0.5296127562642369,random,7
11,1,0.15261958997722094,uncertainty_sampling,7
12,10,0.35364464692482916,uncertainty_sampling,7
13,20,0.4216970387243736,uncertainty_sampling,7
14,30,0.4598519362186788,uncertainty_sampling,7
15,40,0.474373576309795,uncertainty_sampling,7
16,50,0.4974373576309795,uncertainty_sampling,7
17,60,0.510250569476082,uncertainty_sampling,7
18,70,0.5236332574031891,uncertainty_sampling,7
19,80,0.5324601366742597,uncertainty_sampling,7
20,90,0.5199316628701595,uncertainty_sampling,7
21,100,0.5344533029612756,uncertainty_sampling,7
22,1,0.13980637813211846,entropy_sampling,7
23,10,0.3505125284738041,entropy_sampling,7
24,20,0.40802961275626426,entropy_sampling,7
25,30,0.4547266514806378,entropy_sampling,7
26,40,0.474373576309795,entropy_sampling,7
27,50,0.4971526195899772,entropy_sampling,7
28,60,0.520501138952164,entropy_sampling,7
29,70,0.5324601366742597,entropy_sampling,7
30,80,0.539009111617312,entropy_sampling,7
31,90,0.5128132118451025,entropy_sampling,7
32,100,0.5250569476082004,entropy_sampling,7
33,1,0.150626423690205,margin_sampling,7
34,10,0.35079726651480636,margin_sampling,7
35,20,0.42369020501138954,margin_sampling,7
36,30,0.46184510250569477,margin_sampling,7
37,40,0.48348519362186787,margin_sampling,7
38,50,0.5011389521640092,margin_sampling,7
39,60,0.5096810933940774,margin_sampling,7
40,70,0.5139521640091116,margin_sampling,7
41,80,0.5213553530751709,margin_sampling,7
42,90,0.532744874715262,margin_sampling,7
43,100,0.5216400911161732,margin_sampling,7
0,1,0.15119589977220957,random,8
1,10,0.36161731207289294,random,8
2,20,0.4188496583143508,random,8
3,30,0.4421981776765376,random,8
4,40,0.4624145785876993,random,8
5,50,0.47494305239179957,random,8
6,60,0.4923120728929385,random,8
7,70,0.4934510250569476,random,8
8,80,0.518507972665148,random,8
9,90,0.5008542141230068,random,8
10,100,0.5304669703872438,random,8
11,1,0.14664009111617313,uncertainty_sampling,8
12,10,0.3414009111617312,uncertainty_sampling,8
13,20,0.38468109339407747,uncertainty_sampling,8
14,30,0.43109339407744873,uncertainty_sampling,8
15,40,0.4760820045558087,uncertainty_sampling,8
16,50,0.48291571753986334,uncertainty_sampling,8
17,60,0.5091116173120729,uncertainty_sampling,8
18,70,0.5133826879271071,uncertainty_sampling,8
19,80,0.5105353075170843,uncertainty_sampling,8
20,90,0.5190774487471527,uncertainty_sampling,8
21,100,0.5253416856492027,uncertainty_sampling,8
22,1,0.14749430523917995,entropy_sampling,8
23,10,0.34111617312072895,entropy_sampling,8
24,20,0.40945330296127563,entropy_sampling,8
25,30,0.4447608200455581,entropy_sampling,8
26,40,0.47579726651480636,entropy_sampling,8
27,50,0.4869020501138952,entropy_sampling,8
28,60,0.5028473804100227,entropy_sampling,8
29,70,0.5190774487471527,entropy_sampling,8
30,80,0.5222095671981777,entropy_sampling,8
31,90,0.5273348519362187,entropy_sampling,8
32,100,0.517369020501139,entropy_sampling,8
33,1,0.1429384965831435,margin_sampling,8
34,10,0.328872437357631,margin_sampling,8
35,20,0.39635535307517084,margin_sampling,8
36,30,0.45244874715261957,margin_sampling,8
37,40,0.4646924829157175,margin_sampling,8
38,50,0.4871867881548975,margin_sampling,8
39,60,0.5045558086560364,margin_sampling,8
40,70,0.5247722095671982,margin_sampling,8
41,80,0.5091116173120729,margin_sampling,8
42,90,0.5250569476082004,margin_sampling,8
43,100,0.5304669703872438,margin_sampling,8
0,1,0.1597380410022779,random,9
1,10,0.34225512528473806,random,9
2,20,0.40290432801822323,random,9
3,30,0.44874715261959,random,9
4,40,0.4626993166287016,random,9
5,50,0.4974373576309795,random,9
6,60,0.4988610478359909,random,9
7,70,0.5213553530751709,random,9
8,80,0.515375854214123,random,9
9,90,0.5279043280182233,random,9
10,100,0.5424259681093394,random,9
11,1,0.16030751708428245,uncertainty_sampling,9
12,10,0.3547835990888383,uncertainty_sampling,9
13,20,0.4140091116173121,uncertainty_sampling,9
14,30,0.4461845102505695,uncertainty_sampling,9
15,40,0.4832004555808656,uncertainty_sampling,9
16,50,0.484624145785877,uncertainty_sampling,9
17,60,0.517369020501139,uncertainty_sampling,9
18,70,0.5318906605922551,uncertainty_sampling,9
19,80,0.5316059225512528,uncertainty_sampling,9
20,90,0.5395785876993167,uncertainty_sampling,9
21,100,0.5435649202733486,uncertainty_sampling,9
22,1,0.1546127562642369,entropy_sampling,9
23,10,0.3425398633257403,entropy_sampling,9
24,20,0.4060364464692483,entropy_sampling,9
25,30,0.45130979498861046,entropy_sampling,9
26,40,0.47494305239179957,entropy_sampling,9
27,50,0.4994305239179954,entropy_sampling,9
28,60,0.5096810933940774,entropy_sampling,9
29,70,0.530751708428246,entropy_sampling,9
30,80,0.537870159453303,entropy_sampling,9
31,90,0.5361617312072893,entropy_sampling,9
32,100,0.5162300683371298,entropy_sampling,9
33,1,0.15916856492027334,margin_sampling,9
34,10,0.3439635535307517,margin_sampling,9
35,20,0.42625284738041,margin_sampling,9
36,30,0.46554669703872437,margin_sampling,9
37,40,0.48177676537585423,margin_sampling,9
38,50,0.4880410022779043,margin_sampling,9
39,60,0.5119589977220956,margin_sampling,9
40,70,0.5213553530751709,margin_sampling,9
41,80,0.5318906605922551,margin_sampling,9
42,90,0.5401480637813212,margin_sampling,9
43,100,0.532744874715262,margin_sampling,9
0,1,0.15233485193621868,random,10
1,10,0.3445330296127563,random,10
2,20,0.42568337129840544,random,10
3,30,0.4515945330296128,random,10
4,40,0.47238041002277903,random,10
5,50,0.4766514806378132,random,10
6,60,0.49316628701594534,random,10
7,70,0.505125284738041,random,10
8,80,0.5008542141230068,random,10
9,90,0.5253416856492027,random,10
10,100,0.5353075170842825,random,10
11,1,0.15261958997722094,uncertainty_sampling,10
12,10,0.34709567198177677,uncertainty_sampling,10
13,20,0.41287015945330297,uncertainty_sampling,10
14,30,0.4498861047835991,uncertainty_sampling,10
15,40,0.4718109339407745,uncertainty_sampling,10
16,50,0.5062642369020501,uncertainty_sampling,10
17,60,0.5148063781321185,uncertainty_sampling,10
18,70,0.5170842824601367,uncertainty_sampling,10
19,80,0.52249430523918,uncertainty_sampling,10
20,90,0.5270501138952164,uncertainty_sampling,10
21,100,0.5364464692482915,uncertainty_sampling,10
22,1,0.1483485193621868,entropy_sampling,10
23,10,0.36389521640091116,entropy_sampling,10
24,20,0.4328018223234624,entropy_sampling,10
25,30,0.4646924829157175,entropy_sampling,10
26,40,0.49031890660592253,entropy_sampling,10
27,50,0.49003416856492027,entropy_sampling,10
28,60,0.5333143507972665,entropy_sampling,10
29,70,0.5324601366742597,entropy_sampling,10
30,80,0.5412870159453302,entropy_sampling,10
31,90,0.5364464692482915,entropy_sampling,10
32,100,0.5310364464692483,entropy_sampling,10
33,1,0.15318906605922553,margin_sampling,10
34,10,0.35734624145785876,margin_sampling,10
35,20,0.4199886104783599,margin_sampling,10
36,30,0.45728929384965833,margin_sampling,10
37,40,0.47636674259681094,margin_sampling,10
38,50,0.4960136674259681,margin_sampling,10
39,60,0.5076879271070615,margin_sampling,10
40,70,0.5267653758542141,margin_sampling,10
41,80,0.5276195899772209,margin_sampling,10
42,90,0.5370159453302962,margin_sampling,10
43,100,0.5424259681093394,margin_sampling,10
0,1,0.14464692482915717,random,11
1,10,0.34197038724373574,random,11
2,20,0.3983485193621868,random,11
3,30,0.4359339407744875,random,11
4,40,0.4581435079726651,random,11
5,50,0.4701025056947608,random,11
6,60,0.48006833712984054,random,11
7,70,0.5082574031890661,random,11
8,80,0.4985763097949886,random,11
9,90,0.5207858769931663,random,11
10,100,0.5233485193621867,random,11
11,1,0.14464692482915717,uncertainty_sampling,11
12,10,0.32545558086560367,uncertainty_sampling,11
13,20,0.41173120728929385,uncertainty_sampling,11
14,30,0.44703872437357633,uncertainty_sampling,11
15,40,0.47351936218678814,uncertainty_sampling,11
16,50,0.4809225512528474,uncertainty_sampling,11
17,60,0.5045558086560364,uncertainty_sampling,11
18,70,0.5105353075170843,uncertainty_sampling,11
19,80,0.5267653758542141,uncertainty_sampling,11
20,90,0.539009111617312,uncertainty_sampling,11
21,100,0.5341685649202733,uncertainty_sampling,11
22,1,0.13069476082004555,entropy_sampling,11
23,10,0.32431662870159456,entropy_sampling,11
24,20,0.3869589977220957,entropy_sampling,11
25,30,0.4402050113895216,entropy_sampling,11
26,40,0.4629840546697039,entropy_sampling,11
27,50,0.48889521640091116,entropy_sampling,11
28,60,0.5088268792710706,entropy_sampling,11
29,70,0.5187927107061503,entropy_sampling,11
30,80,0.52249430523918,entropy_sampling,11
31,90,0.505125284738041,entropy_sampling,11
32,100,0.5361617312072893,entropy_sampling,11
33,1,0.15005694760820046,margin_sampling,11
34,10,0.34111617312072895,margin_sampling,11
35,20,0.40034168564920275,margin_sampling,11
36,30,0.4444760820045558,margin_sampling,11
37,40,0.4646924829157175,margin_sampling,11
38,50,0.4988610478359909,margin_sampling,11
39,60,0.5079726651480638,margin_sampling,11
40,70,0.5176537585421412,margin_sampling,11
41,80,0.5253416856492027,margin_sampling,11
42,90,0.5279043280182233,margin_sampling,11
43,100,0.5259111617312073,margin_sampling,11
0,1,0.1392369020501139,random,12
1,10,0.3456719817767654,random,12
2,20,0.4140091116173121,random,12
3,30,0.4393507972665148,random,12
4,40,0.45899772209567197,random,12
5,50,0.49145785876993164,random,12
6,60,0.48889521640091116,random,12
7,70,0.48946469248291574,random,12
8,80,0.4974373576309795,random,12
9,90,0.5139521640091116,random,12
10,100,0.5170842824601367,random,12
11,1,0.15290432801822323,uncertainty_sampling,12
12,10,0.3376993166287016,uncertainty_sampling,12
13,20,0.3994874715261959,uncertainty_sampling,12
14,30,0.4402050113895216,uncertainty_sampling,12
15,40,0.4664009111617312,uncertainty_sampling,12
16,50,0.5065489749430524,uncertainty_sampling,12
17,60,0.5039863325740319,uncertainty_sampling,12
18,70,0.5279043280182233,uncertainty_sampling,12
19,80,0.5259111617312073,uncertainty_sampling,12
20,90,0.525626423690205,uncertainty_sampling,12
21,100,0.5361617312072893,uncertainty_sampling,12
22,1,0.1378132118451025,entropy_sampling,12
23,10,0.32687927107061504,entropy_sampling,12
24,20,0.40774487471526194,entropy_sampling,12
25,30,0.44533029612756264,entropy_sampling,12
26,40,0.4678246013667426,entropy_sampling,12
27,50,0.48519362186788156,entropy_sampling,12
28,60,0.48490888382687924,entropy_sampling,12
29,70,0.5242027334851936,entropy_sampling,12
30,80,0.5162300683371298,entropy_sampling,12
31,90,0.5222095671981777,entropy_sampling,12
32,100,0.5392938496583144,entropy_sampling,12
33,1,0.14977220956719817,margin_sampling,12
34,10,0.35506833712984054,margin_sampling,12
35,20,0.40945330296127563,margin_sampling,12
36,30,0.446753986332574,margin_sampling,12
37,40,0.45899772209567197,margin_sampling,12
38,50,0.4934510250569476,margin_sampling,12
39,60,0.4843394077448747,margin_sampling,12
40,70,0.5281890660592256,margin_sampling,12
41,80,0.5293280182232346,margin_sampling,12
42,90,0.518507972665148,margin_sampling,12
43,100,0.5324601366742597,margin_sampling,12
0,1,0.12927107061503418,random,13
1,10,0.3516514806378132,random,13
2,20,0.40916856492027337,random,13
3,30,0.4419134396355353,random,13
4,40,0.46326879271070615,random,13
5,50,0.47864464692482916,random,13
6,60,0.49145785876993164,random,13
7,70,0.5054100227790432,random,13
8,80,0.5042710706150342,random,13
9,90,0.5011389521640092,random,13
10,100,0.5270501138952164,random,13
11,1,0.1315489749430524,uncertainty_sampling,13
12,10,0.3451025056947608,uncertainty_sampling,13
13,20,0.41600227790432803,uncertainty_sampling,13
14,30,0.45301822323462415,uncertainty_sampling,13
15,40,0.48177676537585423,uncertainty_sampling,13
16,50,0.4920273348519362,uncertainty_sampling,13
17,60,0.5142369020501139,uncertainty_sampling,13
18,70,0.5167995444191344,uncertainty_sampling,13
19,80,0.5179384965831435,uncertainty_sampling,13
20,90,0.517369020501139,uncertainty_sampling,13
21,100,0.539009111617312,uncertainty_sampling,13
22,1,0.1315489749430524,entropy_sampling,13
23,10,0.3078018223234624,entropy_sampling,13
24,20,0.4162870159453303,entropy_sampling,13
25,30,0.4456150341685649,entropy_sampling,13
26,40,0.47380410022779046,entropy_sampling,13
27,50,0.5034168564920274,entropy_sampling,13
28,60,0.5111047835990888,entropy_sampling,13
29,70,0.5273348519362187,entropy_sampling,13
30,80,0.5230637813211845,entropy_sampling,13
31,90,0.518507972665148,entropy_sampling,13
32,100,0.5202164009111617,entropy_sampling,13
33,1,0.13468109339407744,margin_sampling,13
34,10,0.3416856492027335,margin_sampling,13
35,20,0.40632118451025057,margin_sampling,13
36,30,0.4421981776765376,margin_sampling,13
37,40,0.4544419134396355,margin_sampling,13
38,50,0.47750569476082005,margin_sampling,13
39,60,0.4940205011389522,margin_sampling,13
40,70,0.5227790432801822,margin_sampling,13
41,80,0.5301822323462415,margin_sampling,13
42,90,0.5230637813211845,margin_sampling,13
43,100,0.5310364464692483,margin_sampling,13
0,1,0.14749430523917995,random,14
1,10,0.3490888382687927,random,14
2,20,0.40261958997722097,random,14
3,30,0.4137243735763098,random,14
4,40,0.4535876993166287,random,14
5,50,0.4712414578587699,random,14
6,60,0.49373576309794986,random,14
7,70,0.49174259681093396,random,14
8,80,0.5142369020501139,random,14
9,90,0.5233485193621867,random,14
10,100,0.5353075170842825,random,14
11,1,0.16685649202733485,uncertainty_sampling,14
12,10,0.3428246013667426,uncertainty_sampling,14
13,20,0.40404328018223234,uncertainty_sampling,14
14,30,0.45529612756264237,uncertainty_sampling,14
15,40,0.4715261958997722,uncertainty_sampling,14
16,50,0.4843394077448747,uncertainty_sampling,14
17,60,0.5076879271070615,uncertainty_sampling,14
18,70,0.5122437357630979,uncertainty_sampling,14
19,80,0.518507972665148,uncertainty_sampling,14
20,90,0.5239179954441914,uncertainty_sampling,14
21,100,0.49259681093394075,uncertainty_sampling,14
22,1,0.15945330296127563,entropy_sampling,14
23,10,0.34481776765375854,entropy_sampling,14
24,20,0.41657175398633256,entropy_sampling,14
25,30,0.4496013667425968,entropy_sampling,14
26,40,0.47693621867881547,entropy_sampling,14
27,50,0.5,entropy_sampling,14
